"57acb522-a6fc-4aa4-a80e-21f21f317250","Turtle Talk With Crush","ATTRACTION","47f90d2c-e191-4239-a466-5892ef59a88b","62992;entityType=Attraction","OPERATING","57acb522-a6fc-4aa4-a80e-21f21f317250","Turtle Talk With Crush","ATTRACTION","47f90d2c-e191-4239-a466-5892ef59a88b","62992;entityType=Attraction","OPERATING","c(\"2025-05-13T09:00:00-04:00\", \"2025-05-13T10:00:00-04:00\", \"2025-05-13T11:00:00-04:00\", \"2025-05-13T12:00:00-04:00\", \"2025-05-13T13:00:00-04:00\", \"2025-05-13T14:00:00-04:00\", \"2025-05-13T15:00:00-04:00\", \"2025-05-13T16:00:00-04:00\", \"2025-05-13T17:00:00-04:00\", \"2025-05-13T18:00:00-04:00\", \"2025-05-13T19:00:00-04:00\", \"2025-05-13T20:00:00-04:00\"), c(20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 0, 0), c(16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 0, 0)","Operating, 2025-05-13T18:40:00-04:00, 2025-05-13T09:40:00-04:00","2025-05-13T19:41:01Z","","",15,"AVAILABLE",NA,"2025-05-13T16:40:00-04:00",NA,NA,NA,NA,NA,NA,NA,2025-05-13 15:46:07.418291
"22f48b73-01df-460e-8969-9eb2b4ae836c","Gran Fiesta Tour Starring The Three Caballeros","ATTRACTION","47f90d2c-e191-4239-a466-5892ef59a88b","207395;entityType=Attraction","OPERATING","c(\"2025-05-13T09:00:00-04:00\", \"2025-05-13T10:00:00-04:00\", \"2025-05-13T11:00:00-04:00\", \"2025-05-13T12:00:00-04:00\", \"2025-05-13T13:00:00-04:00\", \"2025-05-13T14:00:00-04:00\", \"2025-05-13T15:00:00-04:00\", \"2025-05-13T16:00:00-04:00\", \"2025-05-13T17:00:00-04:00\", \"2025-05-13T18:00:00-04:00\", \"2025-05-13T19:00:00-04:00\", \"2025-05-13T20:00:00-04:00\"), c(5, 5, 5, 5, 10, 15, 10, 10, 10, 5, 5, 5), c(4, 4, 4, 4, 8, 12, 8, 8, 8, 4, 4, 4)","Operating, 2025-05-13T21:00:00-04:00, 2025-05-13T09:00:00-04:00","2025-05-13T19:19:45Z","","",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-13 15:46:07.418291
"3206e3a6-cbc3-4960-9700-163764bc47d6","Le Cellier Steakhouse","RESTAURANT","47f90d2c-e191-4239-a466-5892ef59a88b","90001798;entityType=restaurant","OPERATING","","","2025-05-13T19:45:42Z","","c(25, 25), 1:2",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-13 15:46:07.418291
"4f0df9e7-d4c1-45b5-93e2-4a7bc92547b0","American Heritage Gallery","ATTRACTION","47f90d2c-e191-4239-a466-5892ef59a88b","26421;entityType=Attraction","OPERATING","","Operating, 2025-05-13T21:00:00-04:00, 2025-05-13T09:00:00-04:00","2025-05-13T04:26:09Z","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-13 15:46:07.418291
"1f542745-cda1-4786-a536-5fff373e5964","The American Adventure","ATTRACTION","47f90d2c-e191-4239-a466-5892ef59a88b","80010200;entityType=Attraction","OPERATING","","c(\"Performance Time\", \"Performance Time\", \"Performance Time\", \"Performance Time\", \"Performance Time\", \"Performance Time\", \"Performance Time\", \"Performance Time\", \"Performance Time\", \"Performance Time\"), c(\"2025-05-13T11:45:00-04:00\", \"2025-05-13T12:30:00-04:00\", \"2025-05-13T13:15:00-04:00\", \"2025-05-13T14:00:00-04:00\", \"2025-05-13T14:45:00-04:00\", \"2025-05-13T15:30:00-04:00\", \"2025-05-13T16:30:00-04:00\", \"2025-05-13T17:30:00-04:00\", \"2025-05-13T18:30:00-04:00\", \"2025-05-13T19:30:00-04:00\"), c(\"2025-05-13T11:45:00-04:00\", \"2025-05-13T12:30:00-04:00\", \"2025-05-13T13:15:00-04:00\", \"2025-05-13T14:00:00-04:00\", \"2025-05-13T14:45:00-04:00\", \"2025-05-13T15:30:00-04:00\", \"2025-05-13T16:30:00-04:00\", \"2025-05-13T17:30:00-04:00\", \"2025-05-13T18:30:00-04:00\", \"2025-05-13T19:30:00-04:00\")","2025-05-13T04:26:11Z","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-13 15:46:07.418291
"3d8f8f8f-f984-4d2e-8dea-5a79432bdf05","Advanced Training Lab","ATTRACTION","47f90d2c-e191-4239-a466-5892ef59a88b","3831;entityType=Attraction","OPERATING","","Operating, 2025-05-13T18:00:00-04:00, 2025-05-13T12:00:00-04:00","2025-05-13T04:26:09Z","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-13 15:46:07.418291
"9053240b-7f7f-44fe-970b-bd7956cd5d4f","Project Tomorrow: Inventing the Wonders of the Future","ATTRACTION","47f90d2c-e191-4239-a466-5892ef59a88b","220239;entityType=Attraction","OPERATING","","Operating, 2025-05-13T21:00:00-04:00, 2025-05-13T09:00:00-04:00","2025-05-13T04:26:09Z","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-13 15:46:07.418291
"5b6475ad-4e9a-4793-b841-501aa382c9c0","Mission: SPACE","ATTRACTION","47f90d2c-e191-4239-a466-5892ef59a88b","80010173;entityType=Attraction","OPERATING","c(\"2025-05-13T09:00:00-04:00\", \"2025-05-13T10:00:00-04:00\", \"2025-05-13T11:00:00-04:00\", \"2025-05-13T12:00:00-04:00\", \"2025-05-13T13:00:00-04:00\", \"2025-05-13T14:00:00-04:00\", \"2025-05-13T15:00:00-04:00\", \"2025-05-13T16:00:00-04:00\", \"2025-05-13T17:00:00-04:00\", \"2025-05-13T18:00:00-04:00\", \"2025-05-13T19:00:00-04:00\", \"2025-05-13T20:00:00-04:00\"), c(10, 25, 25, 35, 25, 15, 25, 15, 20, 15, 15, 15), c(8, 20, 20, 29, 20, 12, 20, 12, 16, 12, 12, 12)","c(\"Early Entry\", \"Operating\"), c(\"2025-05-13T09:00:00-04:00\", \"2025-05-13T21:00:00-04:00\"), c(\"2025-05-13T08:30:00-04:00\", \"2025-05-13T09:00:00-04:00\")","2025-05-13T19:41:02Z","","",15,"AVAILABLE",NA,"2025-05-13T15:55:00-04:00",NA,NA,NA,NA,NA,NA,NA,2025-05-13 15:46:07.418291
"8d7ccdb1-a22b-4e26-8dc8-65b1938ed5f0","Frozen Ever After","ATTRACTION","47f90d2c-e191-4239-a466-5892ef59a88b","18375495;entityType=Attraction","OPERATING","c(\"2025-05-13T09:00:00-04:00\", \"2025-05-13T10:00:00-04:00\", \"2025-05-13T11:00:00-04:00\", \"2025-05-13T12:00:00-04:00\", \"2025-05-13T13:00:00-04:00\", \"2025-05-13T14:00:00-04:00\", \"2025-05-13T15:00:00-04:00\", \"2025-05-13T16:00:00-04:00\", \"2025-05-13T17:00:00-04:00\", \"2025-05-13T18:00:00-04:00\", \"2025-05-13T19:00:00-04:00\", \"2025-05-13T20:00:00-04:00\"), c(45, 45, 45, 45, 50, 50, 50, 50, 50, 45, 45, 40), c(37, 37, 37, 37, 41, 41, 41, 41, 41, 37, 37, 33)","c(\"Early Entry\", \"Operating\"), c(\"2025-05-13T09:00:00-04:00\", \"2025-05-13T21:00:00-04:00\"), c(\"2025-05-13T08:30:00-04:00\", \"2025-05-13T09:00:00-04:00\")","2025-05-13T19:22:42Z","","",60,"FINISHED",NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-13 15:46:07.418291
"66ff36de-9cb3-4d9a-b891-1665d19ffb3e","Stave Church Gallery","ATTRACTION","47f90d2c-e191-4239-a466-5892ef59a88b","61525;entityType=Attraction","OPERATING","","Operating, 2025-05-13T21:00:00-04:00, 2025-05-13T09:00:00-04:00","2025-05-13T04:26:09Z","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-13 15:46:07.418291
"3e5f26ee-c02d-47fd-891e-5e4479073444","ImageWorks - The \"What If\" Labs","ATTRACTION","47f90d2c-e191-4239-a466-5892ef59a88b","80010144;entityType=Attraction","OPERATING","","Operating, 2025-05-13T21:00:00-04:00, 2025-05-13T09:00:00-04:00","2025-05-13T04:26:10Z","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-05-13 15:46:07.418291
